incidentid,alertid,detectorid,alerttitle,deviceid,ipaddress,accountsid,accountupn,accountobjectid,accountname,devicename,applicationid,applicationname,filename,folderpath,osfamily,osversion,hour,category
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,1,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,1,11,0,24,0,0,15,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,10,31,0,14,0,0,15,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,15,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,1,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,4,23,0,6,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,4,23,0,6,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,1,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,1,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,1,11,0,24,0,0,16,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,1,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,1,11,0,24,0,0,16,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
1,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
0,-1,-1,-1,0,0,-1,0,-1,0,0,8,11,0,24,0,0,16,InitialAccess
